action,actor,user,org,repo,created_at,data.hook_id,data.events,data.events_were,data.target_login,data.old_user,data.team
repo.create,alexsandromds,,EscolaDeSaudePublica,EscolaDeSaudePublica/observat-rio-,1571934732874,,,,,,
integration_installation.create,,,EscolaDeSaudePublica,,1571929558404,,,,,,
hook.create,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/PoliticasDigitais,1572015727579,152108464,"[""push"", ""pull_request"", ""issue_comment"", ""issues""]",,,,
project.update_user_permission,uira,uira,EscolaDeSaudePublica,,1572547258700,,,,,,
repo.create,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/ComiteDePoliticasDigitais,1572539946566,,,,,,
project.create,uira,,EscolaDeSaudePublica,,1572547258700,,,,,,
repo.create,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/PoliticasDigitais,1571929555683,,,,,,
org.add_member,uira,alexsandromds,EscolaDeSaudePublica,,1571934562208,,,,,,
org.create,uira,,EscolaDeSaudePublica,,1571929212992,,,,,,
org.add_member,uira,victorMagalhaesPacheco,EscolaDeSaudePublica,,1571933478715,,,,,,
integration_installation.repositories_added,alexsandromds,,EscolaDeSaudePublica,,1571934735373,,,,,,
project.update_org_permission,uira,,EscolaDeSaudePublica,,1572547258695,,,,,,
organization_default_label.create,uira,,EscolaDeSaudePublica,,1571929212992,,,,,,
project.link,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/PoliticasDigitais,1572008663502,,,,,,
project.link,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/PoliticasDigitais,1571935084138,,,,,,
team.create,uira,,EscolaDeSaudePublica,,1572544568162,,,,,,EscolaDeSaudePublica/nutic
org.invite_member,uira,,EscolaDeSaudePublica,,1571929255375,,,,,,
organization_default_label.create,uira,,EscolaDeSaudePublica,,1571929212992,,,,,,
organization_default_label.create,uira,,EscolaDeSaudePublica,,1571929212992,,,,,,
org.add_member,uira,uira,EscolaDeSaudePublica,,1571929212992,,,,,,
org.invite_member,uira,rmadev-master,EscolaDeSaudePublica,,1572544658254,,,,,,
organization_default_label.create,uira,,EscolaDeSaudePublica,,1571929212992,,,,,,
project.update_user_permission,uira,uira,EscolaDeSaudePublica,,1572008663502,,,,,,
org.oauth_app_access_approved,uira,,EscolaDeSaudePublica,,1572015643932,,,,,,
organization_default_label.create,uira,,EscolaDeSaudePublica,,1571929212992,,,,,,
org.update_terms_of_service,uira,,EscolaDeSaudePublica,,1571929212992,,,,,,
org.invite_member,uira,alexsandromds,EscolaDeSaudePublica,,1571934537293,,,,,,
team.add_member,uira,uira,EscolaDeSaudePublica,,1572544568166,,,,,,EscolaDeSaudePublica/nutic
project.create,uira,,EscolaDeSaudePublica,,1571935084138,,,,,,
org.invite_member,uira,victorMagalhaesPacheco,EscolaDeSaudePublica,,1571929238900,,,,,,
organization_default_label.create,uira,,EscolaDeSaudePublica,,1571929212992,,,,,,
organization_default_label.create,uira,,EscolaDeSaudePublica,,1571929212992,,,,,,
project.update_user_permission,uira,uira,EscolaDeSaudePublica,,1571935084138,,,,,,
org.add_member,uira,irlenerod,EscolaDeSaudePublica,,1572549941230,,,,,,
repo.create,rmadev-master,,EscolaDeSaudePublica,EscolaDeSaudePublica/mapasculturais,1572544738030,,,,,,
organization_default_label.create,uira,,EscolaDeSaudePublica,,1571929212992,,,,,,
repo.create,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/ComiteInteligencia,1572009186526,,,,,,
project.create,uira,,EscolaDeSaudePublica,,1572008663502,,,,,,
team.add_member,uira,rmadev-master,EscolaDeSaudePublica,,1572544687180,,,,,,EscolaDeSaudePublica/nutic
project.update_org_permission,uira,,EscolaDeSaudePublica,,1571935084131,,,,,,
project.update_org_permission,uira,,EscolaDeSaudePublica,,1572008663496,,,,,,
repo.rename,alexsandromds,,EscolaDeSaudePublica,EscolaDeSaudePublica/observatorio,1571934761179,,,,,,
integration_installation.repositories_added,,,EscolaDeSaudePublica,,1572009188777,,,,,,
organization_default_label.create,uira,,EscolaDeSaudePublica,,1571929212992,,,,,,
org.add_member,uira,rmadev-master,EscolaDeSaudePublica,,1572544687176,,,,,,
org.invite_member,uira,irlenerod,EscolaDeSaudePublica,,1572549923391,,,,,,
team.add_member,uira,irlenerod,EscolaDeSaudePublica,,1572549941235,,,,,,EscolaDeSaudePublica/nutic
project.create,victorMagalhaesPacheco,,EscolaDeSaudePublica,,1572635564525,,,,,,
repo.create,rmadev-master,,EscolaDeSaudePublica,EscolaDeSaudePublica/install,1572609661580,,,,,,
project.update_user_permission,uira,uira,EscolaDeSaudePublica,,1573667219465,,,,,,
issue_comment.update,rmadev-master,,EscolaDeSaudePublica,EscolaDeSaudePublica/mapasculturais,1574168161289,,,,,,
project.link,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/ComiteDePoliticasDigitais,1574083766139,,,,,,
project.update_org_permission,avertut,,EscolaDeSaudePublica,,1574699655395,,,,,,
project.link,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/TransformacaoDigital,1574695148165,,,,,,
project.access,uira,,EscolaDeSaudePublica,,1574695147569,,,,,,
repo.rename,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/Observatorio,1572928867380,,,,,,
project.update_user_permission,uira,uira,EscolaDeSaudePublica,,1573057164760,,,,,,
repo.create,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/BancoDeIDeias,1573087879370,,,,,,
project.update_org_permission,uira,,EscolaDeSaudePublica,,1574695147063,,,,,,
project.link,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/login-cidadao,1574695148173,,,,,,
issue_comment.update,rmadev-master,,EscolaDeSaudePublica,EscolaDeSaudePublica/mapasculturais,1574097288546,,,,,,
project.rename,rmadev-master,,EscolaDeSaudePublica,,1574340299874,,,,,,
issue_comment.update,rmadev-master,,EscolaDeSaudePublica,EscolaDeSaudePublica/mapasculturais,1574168187684,,,,,,
project.rename,uira,,EscolaDeSaudePublica,,1574314301376,,,,,,
project.create,rmadev-master,,EscolaDeSaudePublica,,1572981472939,,,,,,
project.rename,rmadev-master,,EscolaDeSaudePublica,,1574340336525,,,,,,
issue_comment.update,rmadev-master,,EscolaDeSaudePublica,EscolaDeSaudePublica/mapasculturais,1574168228483,,,,,,
project.link,uira,,EscolaDeSaudePublica,EscolaDeSaudePublica/MapaDaSaude,1574695148043,,,,,,
issue_comment.update,victorMagalhaesPacheco,,EscolaDeSaudePublica,EscolaDeSaudePublica/MapaDaSaude,1574691613868,,,,,,
project.create,uira,,EscolaDeSaudePublica,,1574883843193,,,,,,
integration_installation.repositories_removed,uira,,EscolaDeSaudePublica,,1572928853996,,,,,,
team.add_member,uira,uira,EscolaDeSaudePublica,,1572997269693,,,,,,EscolaDeSaudePublica/superintendencia
org.update_member,uira,victorMagalhaesPacheco,EscolaDeSaudePublica,,1573090254508,,,,,,
